,B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,DateTimeStamp
189,13718,12976,11281,10835,12698,10993,9016,11400,5039,26627,23986,2013/06/08
190,11345,10317,9509,8737,12176,9436,7527,9314,5129,26805,24058,2014/05/10
191,10767,9734,8722,7875,11114,7563,6324,8389,5031,27205,24302,2016/07/02
192,8711,7902,7040,6582,8209,6711,5908,6838,5028,23538,21817,2017/11/10
193,10496,9470,8573,7581,9960,7231,5990,8177,5067,25812,22848,2016/08/19
194,10853,9747,8676,7984,9762,7373,6508,8368,5538,23933,21659,2013/07/10
195,11503,10628,9824,9010,12893,9804,7907,9504,5161,25136,22133,2013/05/23
196,10623,9584,8714,7803,11423,8099,6608,8308,5040,26728,24310,2016/04/29
197,9354,8717,7794,7521,8737,7755,7017,7743,5286,19825,17778,2017/12/12
198,9321,8376,7405,6979,7045,6352,5850,7135,5050,24570,22688,2016/03/12
199,18848,18157,16960,16952,17820,17975,15884,15986,5063,20837,19637,2018/03/18
200,8399,7735,6974,6567,7294,7064,6142,6775,5004,23697,22002,2020/01/03
201,14201,13320,12207,11613,13253,9800,8860,11977,7242,17995,16920,2018/05/05
202,12097,11061,10122,9479,12840,9880,8006,9826,5893,24950,22381,2017/05/18
203,17922,16885,15401,14956,17023,10469,9854,15101,8357,14934,13889,2015/05/13
204,8494,7751,6881,6441,7423,6818,5910,6653,5022,22991,21432,2016/12/25
205,11382,10312,9426,8702,11378,8620,6824,9080,5019,26924,24140,2016/06/16
206,11162,10165,9053,8339,10298,9063,7182,8844,5116,27446,24592,2019/08/12
207,11275,10427,9414,9061,9788,8582,7598,9395,6294,20212,18590,2015/03/26
208,23774,23020,20937,20891,22551,17091,16015,21543,7522,17975,15372,2020/07/13
209,8529,7847,7100,6816,7139,6550,5912,6903,5036,22301,20927,2018/01/13
210,8399,7737,6972,6566,7341,7070,6140,6789,5003,23676,21996,2020/01/03
211,8649,7907,7054,6795,6654,5908,5520,6925,5023,20578,19316,2016/02/09
212,33791,33685,32850,33542,36599,30098,21554,32616,5066,23782,21975,2020/06/11
213,11330,10293,9201,8360,9690,8314,6868,8958,5275,25822,22926,2015/08/17
214,13255,12351,11261,10531,12891,9534,8237,10969,6783,20557,18386,2014/07/13
215,25955,25345,23522,23725,25843,20327,18514,23890,5552,18694,16403,2013/06/24
216,29554,29152,27674,28278,29241,17714,13459,27934,5269,17085,16516,2017/03/31
217,23795,23040,20965,20926,22564,17130,16054,21546,7556,17955,15376,2020/07/13
218,18635,18221,17088,17451,18276,14328,11642,17168,5057,17415,17053,2019/12/18
219,14121,13423,12218,12216,12985,12220,10740,12322,5045,22314,20971,2018/02/14
220,11609,10887,9971,9642,10837,7985,7406,9818,6182,16792,16351,2016/11/23
221,29546,29143,27669,28271,29236,17713,13463,27904,5268,17084,16514,2017/03/31
222,10828,9730,8667,7957,10043,7445,6525,8357,5534,23962,21675,2013/07/10
223,13027,12524,11190,11090,12124,8687,8188,11442,6179,16389,15622,2019/12/02
224,17687,17123,16913,16842,17790,16997,14739,16084,5049,21846,20112,2019/10/31
225,19001,18351,16978,16892,17685,18031,15913,16210,5053,20843,19633,2018/03/18
226,14598,13549,12710,12062,13752,13134,12072,12185,5388,19949,18217,2019/07/11
227,9185,8466,7646,7258,8295,8229,6926,7502,5278,21715,20208,2020/02/04
228,9692,8627,7710,6883,10094,6659,5664,7398,5025,26347,23607,2018/09/10
229,12587,11632,10558,10002,12324,9378,7895,10468,5867,21848,21020,2019/07/27
230,10999,9904,8730,7981,8971,8121,6981,8615,5394,23260,21288,2019/04/06
231,10528,9524,8707,7964,10748,8603,6932,8255,5051,26136,23675,2016/05/15
232,8513,7825,7046,6779,7547,6884,6139,6801,5031,22295,20929,2018/01/13
233,11179,10148,9067,8308,11956,8046,6537,8555,5032,26178,23553,2018/07/08
234,26166,26207,25485,26528,28925,24808,20784,25863,5629,19592,17829,2014/03/23
235,9454,8600,7981,7264,11154,7320,6084,7795,5038,25833,23494,2013/09/28
236,11434,10421,9311,8624,11700,8955,7038,9044,5049,26155,23195,2017/06/19
237,12988,12490,11176,11077,11929,8617,8136,11399,6179,16382,15630,2019/12/02
238,11188,10162,9085,8329,11899,7928,6496,8583,5032,26164,23551,2018/07/08
239,26645,26419,26130,27131,28725,23842,18409,24191,5070,23857,22219,2018/04/03
240,11289,10452,8743,8407,8768,8013,7251,9018,5313,21761,20152,2015/03/10
241,8476,7830,7041,6722,7982,7315,6394,6763,5063,19487,18414,2017/12/28
242,11259,10448,8739,8387,8716,7985,7166,9010,5304,21785,20159,2015/03/10
243,11738,10650,9878,9070,13420,9250,7620,9231,5258,25872,22358,2020/07/29
244,11833,10964,10224,9363,13678,9689,7697,9666,5187,26051,23297,2014/06/11
245,14949,14435,13529,13670,14383,11562,9489,13479,5661,15890,15288,2017/01/10
246,11752,11180,10426,10180,10903,10425,9881,9686,5337,20823,18930,2020/12/04
247,13264,12354,11257,10533,12893,9466,8218,11004,6777,20562,18386,2014/07/13
248,14190,13318,12223,11612,13377,9958,8940,11990,7248,18019,16925,2018/05/05
249,11272,10423,9406,9051,9835,8699,7672,9386,6294,20222,18596,2015/03/26
250,14979,14465,13553,13703,14419,11568,9500,13522,5663,15892,15287,2017/01/10
251,17117,16782,15691,16178,17555,16151,14192,15972,5321,19412,18010,2014/12/04
252,11734,11165,10419,10191,10912,10385,9845,9688,5339,20785,18895,2020/12/04
253,50031,48592,49089,49914,50850,13783,15687,45692,23742,9003,9468,2016/05/31
254,14994,13853,12412,11660,12766,9649,8414,12093,5914,21345,18978,2020/08/14
255,12695,11732,10388,9684,11049,8331,7395,10190,6253,20609,19001,2017/09/07
256,17820,17257,17019,16947,17931,17073,14814,16165,5049,21845,20111,2019/10/31
257,12261,11328,10429,9685,11773,8689,7723,10174,6024,20224,18720,2020/05/10
258,12522,11844,10912,10606,11435,8121,7742,10791,5858,15388,15103,2013/11/15
259,29237,28939,27168,27107,29332,24427,21465,27852,6606,14918,14293,2015/08/01
260,22880,22107,20714,20419,21636,13250,13357,20724,14231,8861,8509,2020/04/24
261,17499,16482,14759,14054,15835,10285,9466,14723,8855,13674,13780,2014/06/27
262,10602,9644,8578,7877,9428,6996,6259,8312,5429,23428,21366,2015/09/18
263,14129,13007,12214,11700,13228,10608,9899,11234,6106,14891,15594,2018/05/21
264,11770,10686,9885,9093,13250,9186,7596,9329,5258,25870,22359,2020/07/29
265,17953,16949,15355,14925,16978,10425,9823,15146,8333,14965,13925,2015/05/13
266,22298,22394,20651,20602,21657,12986,13045,22074,11508,9427,10126,2019/10/15
267,14987,13846,12398,11645,12737,9633,8411,12096,5913,21355,18987,2020/08/14
268,21688,21495,20296,20882,21923,10961,9556,20623,5177,16631,16196,2013/12/01
269,12521,11848,10913,10612,11414,8085,7733,10793,5857,15396,15072,2013/11/15
270,17693,16985,15461,15582,16786,15649,14535,15802,5089,20516,19383,2019/03/21
271,34405,33899,32086,32503,34057,13841,12498,32329,5503,16230,15385,2019/06/09
272,29785,29101,27151,27542,29429,16281,14451,27686,5437,15094,14590,2018/07/24
273,14107,12992,12214,11683,13140,10703,9945,11383,6140,14899,15520,2018/05/21
274,17508,16475,14767,14057,15858,10342,9495,14682,8879,13721,13792,2014/06/27
275,34411,33907,32090,32512,34063,13838,12491,32357,5503,16228,15390,2019/06/09
276,26161,26202,25478,26514,28914,24796,20774,25885,5631,19574,17847,2014/03/23
277,22632,22315,21044,21533,22670,12230,11697,21229,7490,11915,11779,2020/01/19
278,39384,38894,36841,37436,38748,11285,12221,37245,11069,9069,9774,2020/05/26
279,38431,38175,36292,37342,39173,23414,19079,36889,5681,14790,14580,2015/04/11
280,19572,18750,17581,17432,18631,13647,13136,17281,9699,10645,11032,2020/03/23
281,22882,22110,20709,20413,21643,13252,13357,20727,14232,8862,8506,2020/04/24
282,24144,23958,22685,23256,24018,11701,12175,23018,11340,6680,6980,2015/12/23
283,19575,18751,17584,17440,18639,13647,13137,17285,9702,10643,11029,2020/03/23
